file,decade,year,regex你好,regex上午下午晚上中午早上好,regex你好吗,regex吃了吗,regex嗨
革命京剧样板戏《红色娘子军》1972八一.DVDRip.x264.srt,1960,1972,0,0,0,0,0
The.Love.Eterne.1963.Blu-ray.1080p.AVC.DTS-HD MA 5.1-Jsen.srt,1960,1963,0,0,0,0,0
玉罗刹.The.Jade.Raksha.1968.USA.Blu-ray.1080p.AVC.DTS-HD.MA.2.0.srt,1960,1968,0,0,0,0,0
史前巨鳄chs＆eng.srt,1960,None,0,10,0,0,0
Offside.2006.1080p.AMZN.WEB-DL.DDP2.0.x264-ABM.srt,1960,2006,2,9,0,0,0
蜡笔小新：激战！涂鸦王国和约四位勇士 映画クレヨンしんちゃん 激突！ラクガキングダムとほぼ四人の勇者(1080p HD)_3_text.srt,1960,1080,0,0,0,1,0
飞刀手.The.Flying.Dagger.1969.USA.Blu-ray.1080p.AVC.DTS-HD.MA.2.0.srt,1960,1969,0,0,0,0,0
中日南北和.Spy.Games.1989.HKG.Blu-ray.1080p.AVC.TrueHD.5.1-CHDBits简中字幕.srt,1960,1989,3,1,0,0,0
英雄本色2.A Better Tomorrow II.1987.1080p.BDMV.AVC.DD.2.0.ass,1960,1987,7,0,0,1,0
红色娘子军.1971.DVDRip.eng.srt,1960,1971,0,0,0,0,0
夺魂铃.The.Bells.of.Death.1968.USA.Blu-ray.1080p.AVC.DTS-HD.MA.2.0.srt,1960,1968,0,0,0,0,0
Painted.Skin.2008.BluRay.1080p.x264.DTS-WiKi.chs.srt,1960,2008,0,0,0,0,1
座头市与独臂刀 Zatoichi.Meets.the.One-Armed.Swordsman.1971.1080p.BluRay.x264-PHOBOS.srt,1960,1971,2,0,0,0,0
东方三侠2现代豪侠传[国配]Executioners.1993.FRA.UHD.Blu-ray.2160p.HEVC.DTS-HD.MA.5.1.srt,1960,1993,0,0,0,0,0
小儿女 (简体字幕)Father Takes a Bride.1963.DVD.X264.AAC.HALFCD.Chs.srt,1960,1963,0,0,0,0,0
舞台姐妹.Two.Stage.Sisters.1964.BluRay.720p.x264.AC3-CMCT.chs.ass,1960,1964,0,0,0,0,0
潘金莲之前世今生.The.re-incarnation.of.Golden.Lotus.1989.HKG.Blu-ray.1080p.AVC.LPCM.2.0-MTeam_chi.srt,1960,1989,0,0,0,0,0
故都春梦.Between Tears And Smile.1964.SB.DVDRip.srt,1960,1964,0,0,0,1,0
Legendary.Amazon.2011.BluRay.720p.x264.AC3.2Audios-CMCT.chs.srt,1960,2011,0,0,0,0,0
94独臂刀之情 What Price Survival (1994)WEBRip.srt,1960,1994,0,0,0,0,0
断肠剑 Trail of the Broken Blade.Chs.srt,1960,None,0,0,0,0,0
野玫瑰之恋 The Wild Wild Rose (1960)[国语发音][内封中英字][DVD1080P][souyouzi].chi.srt,1960,1960,1,0,0,0,0
天生一对It.Takes.Two.1995.1080p.WEBRip.x265-RARBG-chs.srt,1960,1995,0,14,0,1,0
追魂镖 Killer Darts 1968 1080p Blu-ray.srt,1960,1968,0,1,0,0,0
72家租客72.Tenants.Of.Prosperity.1973.CHD2.chs.srt,1960,1973,0,0,0,0,0
追魂镖.Killer.Darts.1968.USA.Blu-ray.1080p.AVC.DTS-HD.MA.2.0.srt,1960,1968,0,0,0,1,0
分手男女.The.Break-Up.2006.1080p.BluRay.x265.ass,1960,2006,4,23,7,2,0
大闹天宫.The.Monkey.King.1964.DVDRip.x264.虾狐影视制作.ass,1960,1964,0,0,0,0,0
死角.Dead End.1969.SB.DVDRip.srt,1960,1969,0,0,0,0,0
冰山上的来客1962 CCTV6 1080P.mkv_1469444670.srt,1960,1962,9,4,0,2,0
Back.Door.To.Hell.1964.DVDRip.XviD.eng.srt,1960,1964,0,0,0,0,0
princess.yang.kwei-fei.1955.1080p.bluray.x264-usury.chs.ass,1960,1955,0,2,0,0,0
杨贵妃.ass,1960,None,0,2,0,0,0
中日南北和.Spy.Games.1989.DVDRip.HALFCD.ass,1960,1989,2,4,4,0,1
夜探毒龙潭 Night.Moves.1975.1080p.BluRay.x264-[YTS.AG].srt,1960,1975,1,31,0,0,0
少女潘金莲.The.Amorous.Lotus.Pan.1994.SB.DVDRip.HALFCD.2Audios.CHT-edit110.Cht.ssa,1960,1994,0,0,0,0,0
毒龙潭.Dragon.Swamp.1969.USA.Blu-ray.1080p.AVC.DTS-HD.MA.2.0.srt,1960,1969,0,0,0,0,0
地道战(4K修复版).Tunnel.Warfare.1965.WEB-DL.4K.H265.10bit.HDR.AAC-PTerWEB.srt,1960,1965,0,4,0,0,0
甲午风云.The.Naval.Battle.Of.1894.1962.DVDRip.DivX.srt,1960,1894,0,0,0,0,0
Wind.Chill.2007.720p.BluRay.x264-PSYCHD.SRT,1960,2007,5,7,0,0,0
大刺客.The.Assassin.1967.USA.Blu-ray.1080p.AVC.DTS-HD.MA.2.0.srt,1960,1967,0,0,0,0,0
大地儿女蒋汉林修改版.srt,1960,None,1,0,0,0,1
神剑震江湖.The.Thundering.Sword.1967.USA.Blu-ray.1080p.AVC.DTS-HD.MA.2.0.srt,1960,1967,0,0,0,0,0
John.Doe.Vigilante.2014.DVDRip.x264-EXViD.srt,1960,2014,0,3,0,0,0
梁祝.srt,1960,None,0,0,0,0,1
Maradona.By.Kusturica.2008.DVDRip.XviD.chs.srt,1960,2008,4,0,0,1,0
Almost Friends字幕.srt,1960,None,2,46,0,9,0
the.love.of.three.smile-scholar.and.the.beauty.2010.Chs.srt,1960,2010,4,1,0,0,0
The.Monkey.King.1961.WEB-DL.4K.H264.AAC.ass,1960,1961,0,0,0,0,0
口号大过天 Slogans.2001.DVDRip.x264_chi.ass,1960,2001,6,0,1,1,0
龙门金剑.The.Golden.Sword.1969.USA.Blu-ray.1080p.AVC.DTS-HD.MA.2.0.srt,1960,1969,1,1,0,0,0
金燕子.The.Golden.Swallow.1968.USA.Blu-ray.1080p.AVC.DTS-HD.MA.2.0.srt,1960,1968,1,0,0,0,0
The.Love.Eterne.1963.1080p.BluRay.x264-BiPOLAR.ChsA.ass,1960,1963,0,0,0,0,0
CCTV6地雷战.The.Mine.Warfare.1962.HDTV.720p.x264.chs.srt,1960,1962,3,4,0,1,0
刘三姐.srt,1960,None,0,1,0,0,0
Zhui.yu.1960.PAL.DVD5.DD.2.0.srt,1960,1960,0,2,0,0,0
铁手无情.The.Invincible.Fist.1969.USA.Blu-ray.1080p.AVC.DTS-HD.MA.2.0.srt,1960,1969,0,0,0,0,0
金玉良缘红楼梦 1977.srt,1960,1977,3,0,0,0,0
【画皮】（导演剪辑版）字幕.srt,1960,None,0,0,0,0,1
英雄不改本色.Still.Crazy.1998.720p.WEBRip.x264.English.srt,1960,1998,0,0,0,0,0
